	BP_RCS_1	BM_RCS_1	BP_RCS_2	BM_RCS_2	BP_RCS_3	BM_RCS_3	BP_RCS_4	BM_RCS_4	BP_RCS_5	BM_RCS_5	BP_RCS_6	BM_RCS_6	BP_Pitt_6	BM_Pitt_6	BP_Pitt_7	BM_Pitt_7	BP_Pitt_12	BM_Pitt_12	BP_Pitt_17	BM_Pitt_17	BP_Pitt_25	BM_Pitt_25	BP_Pitt_29	BM_Pitt_29	BP_Pitt_47	BM_Pitt_47	BP_Pitt_51	BM_Pitt_51	BP_Pitt_52	BM_Pitt_52	BP_Pitt_62	BM_Pitt_62	BP_Pitt_64	BM_Pitt_64	BP_Pitt_68	BM_Pitt_68	BP_Pitt_71	BM_Pitt_71	BP_Pitt_72	BM_Pitt_72
PSMC4	723.79	804.99	418.52	868.2	796.25	1087.28	744.25	1060.52	2563.19	3182.35	491.65	717.15	708.83	501.56	603.49	543.25	709.34	1332.48	503.47	656.75	575.66	457.49	1678.12	2803.45	589.47	631.03	789.39	584.93	327.63	475.17	592.49	695.01	502.49	382.98	645.1	1029.81	605.09	491.24	720.65	539.93
PTTG1	201.26	362.87	144.32	430.15	364.44	475.79	204.81	75.87	647.68	707.19	82.17	193.65	383.45	297.54	353.99	370.84	286.78	471.36	98.38	208.89	836.13	584.66	943.26	973.19	183.61	300.67	572.46	486.83	179.75	224.96	160.53	227.68	364.3	484.24	595.35	531.19	403.87	352.6	125.88	126.55
PTTG2	146.88	163.48	108.24	240.42	262.49	394.7	147.12	87.67	429.56	527.82	43.78	185.14	254.17	171.44	180.19	254.03	186.84	267.84	72.34	127.22	607.4	428.9	696.75	676.02	152.47	204.16	427.08	664.86	99.44	204.3	140.47	198.12	285.06	373.08	366.49	601.35	267.8	265.3	97.56	84.36
QSCN6L1	97.51	152.95	122.67	163.22	164.05	260.65	105.29	438.37	348.41	321.84	134.7	165.99	262.94	255.03	111.96	110.48	102.11	133.44	185.19	184.82	204.65	209.93	148.53	149.57	139.58	148.48	231.24	428.7	90.51	151.5	133.07	206.91	224.19	373.08	315.09	618.89	134.62	200.26	198.26	64.68
RAB6B	26.25	54.49	28.86	17.67	19.34	67.85	34.62	82.62	69.24	99.56	40.41	570.32	37.25	24.09	39.45	22.52	42.36	62.4	34.72	13.75	49.25	79.76	19.44	27.55	23.62	96.51	24.86	65.4	38.24	64.27	45.41	43.14	38.65	94.41	23.22	70.16	31.85	109.55	40.91	53.43
RACGAP1	228.76	201.87	165.96	157.64	181.63	206.87	227.89	133.2	138.47	163.92	123.92	221.32	131.47	185.61	202.59	160.44	241.7	155.52	147.57	128.08	156.5	161.78	122.09	116.11	132.07	151.45	119.76	138.06	182.3	229.55	163.7	162.17	119.82	172.83	132.67	177.9	127.39	102.7	97.56	129.36
RASSF7	63.75	60.06	57.73	82.77	99.02	124.12	53.37	202.32	65.51	39.48	80.15	91.51	53.68	49.59	98.09	106.96	93.96	44.16	46.3	112.61	30.64	33.86	62.21	100.37	267.36	96.51	67.04	58.13	57.37	29.84	65.48	68.7	66.68	89.84	44.78	177.9	47.77	35.94	78.67	71.71
RBBP8	75	80.5	238.12	93.93	339.24	144.81	137.02	85.99	256.1	442.85	340.11	148.96	190.63	143.1	113.02	83.74	129.27	296.64	83.91	334.39	223.26	266.37	117.42	276.51	256.62	102.45	319.37	130.79	108.36	55.09	145.75	234.07	305.36	322.83	111.11	112.75	218.58	97.56	78.67	78.74
RECQL5	175.01	170.29	64.94	218.1	100.78	143.98	87.98	428.25	259.07	349.3	222.93	231.96	248.69	178.52	86.37	106.26	88.53	92.16	153.36	194.27	164.16	234.01	261.28	466.42	98.78	162.58	158.18	87.19	110.91	107.89	410.84	345.11	97.6	111.16	160.86	288.15	123.04	121.53	217.14	122.33
RFC4	286.27	391.35	165.96	565.47	213.27	282.16	116.83	109.59	335.01	456.58	105.06	100.02	236.64	102.01	185.53	179.44	116.23	233.28	138.89	198.57	423.54	431.91	293.94	344.4	96.63	216.78	270.41	279.75	138.96	105.59	168.98	181.34	259.94	303.03	417.9	388.37	235.95	164.32	59.79	77.33
RPL37A	14142.01	19878.41	24108.03	15165.81	12051.58	11721.82	16660.46	17971.46	14792.51	17373.32	16911.32	12217.13	19639.05	23251.84	14552.04	18037	9654.29	17439.36	19774.38	22083.6	16826.52	15991.87	14087.47	11106.53	19723.08	21391.89	17541.3	17333.48	19764.8	15728.8	16602.44	22841.92	20363.26	21525.09	12261.81	12886.42	12698.12	21248.32	21946.77	27048.64
RPLP0	6529.73	6081.42	10239.24	5634.23	7996.49	8520.37	5557.33	5278.98	7338.19	8688.8	9637.63	6982.13	11357.7	14495.74	12276.69	16892.09	14146.04	10878.72	12867.53	12741.27	11111.52	8624.61	16174.62	12520.55	11466.21	10000.7	14555.48	11934.71	10069.8	9448.3	12034.66	11236.02	8663.06	7191.27	11296.65	12796.22	12651.8	16462.57	19939.02	18561.58
RRM2	508.15	578.98	1089.59	1879.63	714.22	746.37	377.89	310.23	1778.53	1508.78	86.88	248.98	372.49	313.12	613.09	1006.98	409.53	336.96	315.39	601.73	733.25	835.97	669.54	626.81	202.93	650.33	492.61	363.31	761.07	215.78	556.58	790.08	2022.51	1936.2	447.75	162.87	347.42	345.75	185.67	142.01
RTN4RL1	59.38	73.69	14.43	78.59	75	50.48	89.43	60.7	49.88	40.34	81.49	70.23	5.48	9.92	5.33	2.81	25.53	48.96	98.38	110.03	18.6	27.84	14.77	17.71	31.14	83.15	106.96	58.13	17.85	27.55	69.7	80.69	26.09	11.42	39.8	17.54	44.87	29.1	78.67	70.3
RUNDC1	156.88	186.39	303.06	339	134.76	175.42	108.18	112.96	151.13	121.87	220.23	270.26	134.75	134.6	88.5	54.89	70.61	100.8	141.78	196.85	94.12	114.37	183.52	177.12	173.94	209.35	113.74	141.69	81.59	55.09	170.04	180.54	81.17	115.73	112.77	70.16	128.83	107.83	166.79	87.18
SDHA	383.15	271.84	158.75	336.21	302.92	297.06	173.08	263.02	407.97	399.08	426.99	444.76	597.08	473.23	226.04	228	278.63	345.6	387.73	380.81	293.3	299.48	373.26	543.17	340.37	337.04	271.16	254.32	187.4	261.69	211.23	239.66	295.69	383.74	295.19	230.52	314.12	359.44	308.4	288.25
SERF1A	396.9	485.47	310.28	455.26	338.07	533.71	242.31	232.67	166.02	195.68	161.64	195.78	227.88	196.94	158.87	152	143.39	172.8	298.03	373.07	287.83	242.29	172.63	200.74	266.28	449.89	432.36	635.79	212.89	289.23	274.6	326.74	186.5	298.46	116.08	212.98	166.47	176.3	258.05	157.48
SF3A1	733.79	713.97	418.52	464.09	480.45	559.36	555.3	470.4	573.98	489.2	570.45	623.52	535.73	687.17	499	442.62	695.76	709.44	500.58	338.69	535.17	574.87	496.9	568.76	616.31	569.41	480.56	396.01	373.52	488.94	448.86	470.53	537.27	575.61	441.12	378.35	561.66	534.03	405.96	413.39
SFRP1	395.65	314.57	728.8	278.08	281.24	400.49	325.97	197.27	418.39	750.1	286.91	308.57	758.13	1375.76	333.73	275.85	513.27	243.84	295.14	226.94	1406.31	1492.87	328.94	302.09	301.71	241.28	221.45	214.35	354.4	371.87	236.57	218.89	651.3	1068.98	2257.01	1586.06	561.66	470.7	311.55	182.79
SLC2A3	34.38	26.63	14.43	30.23	21.68	37.24	23.08	20.23	34.99	30.04	23.57	68.1	36.15	39.67	11.73	30.96	16.84	24.96	66.55	25.79	28.45	46.65	19.44	40.34	22.55	43.06	24.1	47.23	24.22	32.14	31.68	23.97	19.33	25.89	29.85	25.06	36.19	42.79	12.59	32.34
SLC39A6	480.65	409.31	865.9	979.34	7850.02	12627.89	2123.12	585.05	576.22	681.44	6256.04	2291.91	453.56	274.87	505.4	322.99	430.71	634.56	1802.67	1552.47	523.13	449.21	251.95	381.8	3208.26	1241.27	5251.54	5783.88	418.14	417.78	2391.09	3168.29	823.3	992.84	472.63	243.05	660.09	797.62	1655.29	1622.61
STC2	130.63	165.33	591.7	90.21	821.45	674.38	1227.43	257.96	258.33	659.13	6912.02	40.43	310.04	104.85	406.24	438.4	210.19	315.84	182.29	649.01	264.85	448.46	1254.31	1566.55	5755.12	432.07	552.12	1972.77	518.85	261.69	1038.18	669.45	677.39	595.4	346.59	679.02	157.79	379.98	358.75	2343.92
STK32B	386.27	309.61	187.61	272.97	285.34	381.46	385.1	209.07	183.14	209.41	202.05	312.82	185.15	303.2	326.27	237.14	360.1	218.88	269.1	212.33	275.79	240.78	149.3	215.5	273.8	231.62	155.17	203.45	252.41	316.78	229.18	223.68	226.12	315.21	194.03	197.94	159.23	130.08	116.44	151.86
TFRC	1257.57	1634.14	187.61	885.4	430.06	603.22	281.26	527.73	659.6	495.2	255.93	314.95	989.29	590.82	715.45	901.43	319.37	460.8	271.99	509.75	624.91	635.07	596.44	730.14	222.26	427.62	980.71	664.86	554.55	690.95	659.03	816.44	1211.76	2687.69	761.18	340.76	505.2	431.33	311.55	451.35
TGFB3	400.02	185.15	642.21	96.72	252.53	315.26	416.84	409.71	236.74	410.24	1619.07	725.66	396.59	168.6	647.21	580.54	189.56	192.96	431.14	375.65	114.91	57.94	151.64	107.26	752.67	351.89	363.81	257.95	201.42	387.94	198.55	208.5	121.76	76.14	169.15	97.72	214.24	160.89	582.18	160.29
TMEFF1	220.64	179.58	173.18	154.39	148.82	191.14	160.1	131.51	173.46	201.69	120.55	276.65	175.29	194.11	179.13	144.26	203.68	154.56	150.46	121.21	215.6	178.33	108.87	126.94	121.33	142.54	103.95	83.56	145.33	151.5	138.35	118.23	138.18	160.65	107.79	90.2	121.6	133.51	91.26	106.86
TMEM45B	124.38	152.33	101.02	191.12	37.5	67.85	36.06	28.66	29.03	27.46	63.98	53.2	29.58	26.92	235.64	175.92	29.33	32.64	43.4	42.12	40.49	27.09	35.77	50.18	37.58	129.92	35.4	36.33	308.51	105.59	25.35	32.75	21.26	25.13	31.51	30.07	28.95	41.08	157.35	82.96
TSPYL5	103.76	127.56	165.96	471.53	60.93	70.33	87.98	42.15	511.45	733.79	127.96	174.5	280.46	296.12	78.9	50.67	237.35	777.6	185.19	207.17	524.22	285.18	374.82	521.53	83.75	133.63	363.81	163.49	138.96	254.8	158.42	162.17	175.87	172.07	480.92	761.71	321.36	448.45	169.93	329.02
TYMS	723.16	1151.76	129.88	230.65	679.66	1159.27	203.37	256.28	691.61	1307.96	154.9	417.1	858.92	1008.79	570.44	663.58	512.72	520.32	350.12	541.56	1512.47	1647.12	1063.79	1439.61	198.64	170.01	1006.32	821.08	230.74	447.62	548.13	520.86	431.94	1726.06	1325.02	1099.97	878.68	611.06	113.29	144.83
UBC	13528.23	19279	6667.41	15957.75	13731.96	18164.43	9046.35	12009.63	18167.91	19697.43	11917.4	15055.95	9723.12	11980.84	7552.18	8442.88	15537.56	19670.4	13796.35	15860.82	7852.37	10232.6	9049.23	8706.53	12988.74	20512.91	14381.48	17220.86	9670.78	12012.38	14999.23	17038.17	9082.44	12148.64	18515.44	20488.49	10541.24	8120.03	16250.8	17883.85
UBE2C	270.01	351.72	382.44	614.3	657.98	985.51	367.8	576.62	917.18	1109.7	178.47	285.16	477.67	259.28	590.7	415.18	460.58	930.24	251.74	520.93	1329.71	1073.75	1621.35	1277.25	1450.59	628.8	1624.72	1711.19	425.79	454.51	447.8	664.65	769.19	515.46	875.61	892	525.47	133.51	264.34	170.13
UBE2T	210.64	277.41	43.29	292.03	249.01	260.65	89.43	136.57	319.38	725.21	45.12	123.43	265.13	362.71	180.19	181.55	197.16	377.28	89.7	213.19	328.32	234.01	338.27	313.9	82.68	145.51	262.13	101.73	246.04	114.78	160.53	210.9	705.41	784.23	464.34	335.75	418.35	217.38	75.53	91.39
UCHL5	170.63	220.44	93.81	227.4	147.06	169.63	92.31	99.48	458.59	562.15	132	185.14	146.81	204.03	135.41	173.11	130.9	312.96	127.32	179.66	273.6	246.05	276.06	259.78	142.8	296.21	79.84	94.46	150.43	96.41	129.9	233.27	404.89	279.43	288.55	255.57	221.48	114.68	88.11	101.24
